電力会社,氏名,役職(2007),役職(2008),役職(2009),役職(2010),役職(2011),万円(2007),万円(2008),万円(2009),万円(2010),万円(2011)
四国電力,武井　邦夫,常務取締役,常務取締役,常務取締役,常務取締役,N/A,15,15,15,10,N/A
四国電力,谷脇　美穂,取締役,N/A,N/A,N/A,N/A,10,N/A,N/A,10,N/A
四国電力,柿木　一高,取締役,取締役,常務取締役,常務取締役,副社長,9.2,9.2,14.2,9.2,N/A
四国電力,玉井　左千夫,取締役,取締役,N/A,N/A,N/A,9.2,9.2,N/A,N/A,N/A
四国電力,河合　幹夫,取締役,取締役,常務取締役,常務取締役,常務取締役,10,10,15,10,N/A
四国電力,中村　有無,N/A,N/A,常務取締役,常務取締役,N/A,N/A,N/A,15,10,N/A
四国電力,家高　順一,N/A,N/A,常務取締役,常務取締役,常務取締役,N/A,N/A,15,10,7
四国電力,津田　富造,N/A,N/A,常務取締役,常務取締役,N/A,N/A,N/A,15,10,N/A
四国電力,山地　幸司,N/A,N/A,常務取締役,取締役,常務取締役,N/A,N/A,10,7,N/A
四国電力,中村　進,N/A,N/A,取締役,取締役,常務取締役,N/A,N/A,10,7,N/A
四国電力,北村　忍,N/A,N/A,取締役,取締役,N/A,N/A,N/A,9.2,6.2,N/A
四国電力,先田　誠喜,N/A,N/A,取締役,取締役,N/A,N/A,N/A,9.2,6.2,N/A
四国電力,谷川　進,N/A,N/A,N/A,N/A,常務取締役,N/A,N/A,N/A,6,N/A
四国電力,別枝　修,N/A,N/A,N/A,N/A,常務取締役,N/A,N/A,N/A,6,N/A
四国電力,福壽　芳久,N/A,N/A,N/A,N/A,常務取締役,N/A,N/A,N/A,N/A,N/A
四国電力,新井　裕史,N/A,N/A,N/A,N/A,常務取締役,N/A,N/A,N/A,6,N/A
四国電力,竹崎　克彦,N/A,N/A,N/A,N/A,取締役,N/A,N/A,N/A,N/A,N/A
九州電力,松尾　新吾,会長,会長,会長,会長,会長,45,45,20,20,N/A
九州電力,眞部　利應,社長,社長,社長,社長,社長,30,30,20,20,N/A
九州電力,佐藤　光昭,副社長,副社長,N/A,N/A,N/A,34,24,N/A,N/A,N/A
九州電力,田中　征夫,副社長,副社長,N/A,N/A,N/A,34,24,N/A,6,N/A
九州電力,蔵野　八郎,副社長,副社長,N/A,N/A,N/A,24,24,N/A,N/A,N/A
九州電力,片山　修造,副社長,副社長,N/A,N/A,N/A,24,24,N/A,N/A,N/A
九州電力,横江　信義,常務取締役,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A
九州電力,日名子泰道,常務取締役,常務取締役,副社長,副社長,副社長,12,12,12,12,N/A
九州電力,三小田　元,常務取締役,常務取締役,N/A,N/A,N/A,12,12,N/A,N/A,N/A
九州電力,段上　守,常務取締役,常務取締役,副社長,副社長,N/A,12,12,15,12,N/A
九州電力,貫　正義,常務取締役,常務取締役,副社長,副社長,副社長,12,12,12,12,N/A
九州電力,池松　勢三郎,常務取締役,常務取締役,N/A,N/A,N/A,12,12,N/A,N/A,N/A
九州電力,小山　一民,常務取締役,常務取締役,常務取締役,N/A,N/A,18,12,6,N/A,N/A
九州電力,深堀　慶憲,N/A,常務取締役,副社長,副社長,副社長,N/A,12,12,12,N/A
九州電力,平野　敏彦,N/A,N/A,常務取締役,常務取締役,N/A,N/A,N/A,6,6,N/A
九州電力,山元　春義,N/A,N/A,常務取締役,常務取締役,副社長,N/A,N/A,6,N/A,6
九州電力,藤永　憲一,N/A,N/A,常務取締役,常務取締役,常務取締役,N/A,N/A,6,6,N/A
九州電力,溝辺　哲,N/A,N/A,常務取締役,常務取締役,N/A,N/A,N/A,6,6,N/A
九州電力,諸岡　雅俊,N/A,N/A,常務取締役,常務取締役,N/A,N/A,N/A,6,6,N/A
九州電力,梶原　正博,N/A,N/A,常務取締役,常務取締役,常務取締役,N/A,N/A,12,6,N/A
九州電力,瓜生　道明,N/A,N/A,常務取締役,常務取締役,副社長,N/A,N/A,6,6,N/A
九州電力,津上　健治,N/A,N/A,常務取締役,常務取締役,常務取締役,N/A,N/A,6,6,N/A
九州電力,梨田　一海,N/A,N/A,N/A,常務取締役,常務取締役,N/A,N/A,N/A,6,N/A
九州電力,鎮西　正直,N/A,N/A,N/A,常務取締役,常務取締役,N/A,N/A,N/A,N/A,N/A
九州電力,渡辺　顯好,N/A,N/A,N/A,常務取締役,N/A,N/A,N/A,N/A,N/A,N/A
九州電力,松島　正康,N/A,N/A,N/A,N/A,常務取締役,N/A,N/A,N/A,N/A,N/A
北海道電力,南山　英雄,会長,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A
北海道電力,近藤　龍夫,社長,会長,会長,会長,会長,30,30,15,15,N/A
北海道電力,濱田　賢一,副社長,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A
北海道電力,矢野　義尚,副社長,副社長,N/A,N/A,N/A,20,20,N/A,N/A,N/A
北海道電力,大和田　勲,常務取締役,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A
北海道電力,吉川　照一,常務取締役,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,N/A
北海道電力,西村　求,常務取締役,副社長,副社長,N/A,N/A,13,15,13,N/A,N/A
北海道電力,佐藤　佳孝,常務取締役,社長,社長,社長,社長,15,30,15,15,N/A
北海道電力,矢島　泰司,常務取締役,N/A,N/A,N/A,N/A,16,N/A,N/A,N/A,N/A
北海道電力,大内　全,常務取締役,常務取締役,副社長,副社長,N/A,15,15,10,10,N/A
北海道電力,長谷川　陽一,常務取締役,常務取締役,N/A,N/A,N/A,13,15,N/A,N/A,N/A
北海道電力,吉田　守利,常務取締役,常務取締役,常務取締役,常務取締役,常務取締役,16,13,10,8,N/A
北海道電力,汐川　哲夫,N/A,常務取締役,常務取締役,常務取締役,N/A,N/A,15,8,N/A,N/A
北海道電力,山田　範保,N/A,常務取締役,常務取締役,常務取締役,N/A,N/A,16,7,N/A,N/A
北海道電力,川合　克彦,N/A,常務取締役,常務取締役,副社長,副社長,N/A,16,7,8,N/A
北海道電力,大房　孝宏,N/A,常務取締役,常務取締役,常務取締役,常務取締役,N/A,15,8,N/A,N/A
北海道電力,脇　千春,N/A,常務取締役,常務取締役,N/A,N/A,N/A,14,10,N/A,N/A
北海道電力,石井　孝久,N/A,N/A,常務取締役,常務取締役,副社長,N/A,N/A,8,N/A,N/A
北海道電力,高橋　賢友,N/A,N/A,常務取締役,常務取締役,常務取締役,N/A,N/A,8,N/A,N/A
北海道電力,吉本　浩昌,N/A,N/A,N/A,常務取締役,常務取締役,N/A,N/A,N/A,N/A,N/A
北海道電力,本間　公祐,N/A,N/A,N/A,常務取締役,常務取締役,N/A,N/A,N/A,N/A,N/A
北海道電力,酒井　修,N/A,N/A,N/A,N/A,常務取締役,N/A,N/A,N/A,N/A,N/A
北海道電力,恩村　裕之,N/A,N/A,N/A,N/A,常務取締役,N/A,N/A,N/A,N/A,N/A
北海道電力,阿部　幹司,N/A,N/A,N/A,N/A,常務取締役,N/A,N/A,N/A,N/A,N/A
北海道電力,清水　範子,N/A,N/A,N/A,N/A,取締役,N/A,N/A,N/A,N/A,N/A
